id,title,category,section_number,content
14,Right to Life and Liberty,Constitution of Pakistan,Article 9,"No person shall be deprived of life or liberty save in accordance with law. No person shall be arrested or detained without being told the grounds of his arrest as soon as may be."
15,Right to Fair Trial,Constitution of Pakistan,Article 10-A,"For the determination of his civil rights and obligations or in any criminal charge against him a person shall be entitled to a fair trial and due process."
16,Freedom of Religion,Constitution of Pakistan,Article 20,"Subject to law, public order and morality, every citizen shall have the right to profess, practise and propagate his religion and every religious denomination and every sect thereof shall have the right to establish, maintain and manage its religious institutions."
17,Right to Education,Constitution of Pakistan,Article 25-A,"The State shall provide free and compulsory education to all children of the age of five to sixteen years in such manner as may be determined by law."
18,Protection Against Torture,Constitution of Pakistan,Article 14,"The dignity of man and subject to law the privacy of home shall be inviolable. No person shall be subjected to torture for the purpose of extracting evidence."
19,Bail Provisions - Bailable Offences,Code of Criminal Procedure,Section 496-497,"When any person other than a person accused of a non-bailable offence is arrested or detained, such person shall be released on bail. In case of a non-bailable offence the accused may be released on bail by a Court if: the accused is under sixteen years of age, or is a woman, or is sick or infirm. The court may also release if the investigation is not completed within the period specified."
20,FIR - First Information Report,Code of Criminal Procedure,Section 154,"Every information relating to the commission of a cognizable offence shall be reduced to writing by the officer in charge of a police station if given orally, shall be read over to the informant and signed by the informant. A copy of such report shall be given forthwith free of cost to the informant."
21,Arrest Without Warrant,Code of Criminal Procedure,Section 54,"Any police officer may without an order from a Magistrate and without a warrant arrest any person who has been concerned in any cognizable offence, or against whom a reasonable complaint has been made, or credible information has been received, or a reasonable suspicion exists of his having been so concerned."
22,Rights of Accused During Custody,Code of Criminal Procedure,Section 61-169,"No police officer shall detain in custody a person arrested without warrant for a longer period than twenty-four hours from the time of arrest excluding the journey from the place of arrest to the Magistrate's Court. The accused must be produced before a Magistrate within 24 hours."
23,Trial Procedure - Sessions Court,Code of Criminal Procedure,Section 265,"When a case is ready for trial before a Court of Session, the court shall fix a date for the examination of witnesses. The accused shall be entitled to cross-examine all witnesses. After evidence is completed, the accused shall be given opportunity to make a statement."
24,Appeals,Code of Criminal Procedure,Section 410-431,"Any person convicted on a trial may appeal to the Court to which decrees or orders made by such court are ordinarily appealable. Appeals from Magistrate courts lie to Sessions court. Appeals from Sessions courts lie to High Court. Constitutional matters are appealed to Supreme Court."
25,Marriage Requirements - Nikah,Muslim Family Laws Ordinance,Section 5,"No marriage shall be contracted except by and in the presence of an authorized officer or in the presence of two witnesses, and shall be registered by an authorized officer. The minimum age for marriage is 16 years for females and 18 years for males under Child Marriage Restraint Act."
26,Divorce - Talaq,Muslim Family Laws Ordinance,Section 7,"Any man who wishes to divorce his wife shall, as soon as may be after the pronouncement of talaq, give the Chairman notice in writing of his having done so, and shall supply a copy thereof to the wife. A talaq shall not be effective until expiration of ninety days from day on which notice is delivered to Chairman."
27,Khul - Divorce by Wife,Muslim Family Laws Ordinance,Section 8,"Where the wife seeks a dissolution of her marriage through khula, the court may, upon application of the wife in writing, dissolve the marriage after giving due notice to the husband. The wife may be required to return the dower (mehr) received from the husband."
28,Mehr - Dower,Muslim Family Laws Ordinance,Section 10,"The dower (mehr) is an essential part of the marriage contract. It is an amount promised or given by the husband to the wife at the time of marriage. The wife has a right to claim the unpaid dower at any time during or after the marriage."
29,Child Custody,Guardian and Wards Act / Muslim Family Laws,Section 17,"The welfare of the child is of paramount importance in custody matters. A mother has the right of Hizanat (custody) of a minor son up to age 7 and a minor daughter until she attains puberty. The father is the natural guardian of the child's property but custody can be granted to mother."
30,Maintenance - Nafaqa,Muslim Family Laws Ordinance,Section 9,"A wife is entitled to maintenance (nafaqa) from her husband, which includes food, clothing, and shelter. On failure of husband to provide maintenance, the wife may apply to the Arbitration Council. The Arbitration Council shall determine the amount of maintenance based on husband's financial capacity."
31,Inheritance - Islamic Law,Muslim Personal Law (Shariat) Application Act,Section 2,"In all questions regarding succession, inheritance, legacies and gifts, wills and all other matters of religious usage or institution, the rule of decision where the parties are Muslims shall be the Muslim Personal Law (Shariat). Sons receive double the share of daughters. Wife receives 1/8th if there are children, 1/4th if no children."
32,Tenant Rights - Security of Tenure,Rent Restriction Ordinances (Punjab/Sindh),Section 5-10,"A tenant cannot be evicted from rented premises except through lawful court order. A landlord cannot increase rent without proper notice and following legal procedure. Grounds for eviction include: non-payment of rent, sub-letting without permission, causing damage to property, requiring property for personal use."
33,Rent Agreement,Rent Restriction Ordinances,Section 4,"Every rent agreement should be in writing and registered. The agreement should specify: monthly rent amount, duration of tenancy, responsibilities for utilities, conditions for termination, security deposit amount. An unregistered agreement can still be used as evidence but has limitations."
34,Notice for Eviction,Rent Restriction Ordinances,Section 13-15,"A landlord must give proper written notice before initiating eviction proceedings. The notice period is generally 30 days for monthly tenancies. The tenant has the right to contest the eviction notice in Rent Controller court. The Rent Controller shall hear both parties before passing any order."
35,Security Deposit Rights,Rent Laws,General Provisions,"A tenant is entitled to refund of security deposit at the end of tenancy, subject to deductions for damages beyond normal wear and tear. The landlord must return the deposit within a reasonable time, typically 30 days after vacancy. Failure to return deposit entitles tenant to file complaint in Rent Controller court."
36,Worker Rights - Minimum Wage,Payment of Wages Act / Minimum Wage Ordinance,Section 3,"Every employer must pay minimum wage as notified by the government. Currently the minimum wage in Pakistan is Rs. 37,000 per month (as of 2024). No employer shall employ a worker at a wage rate less than the minimum rate of wages. Violation is punishable with fine and imprisonment."
37,Working Hours and Overtime,Factories Act / Shops and Establishments Ordinance,Section 34-36,"No worker shall be required to work for more than 48 hours in a week or 9 hours in a day. Any work beyond these limits is overtime and must be paid at double the ordinary rate. Workers are entitled to one rest day per week, typically Sunday or any other day agreed upon."
38,Annual Leave and Holidays,Shops and Establishments Ordinance,Section 20-21,"Every worker who has completed one year of service is entitled to annual leave with pay for 14 days. Workers are also entitled to casual leave of 10 days per year and sick leave of 8 days per year. Workers are entitled to paid leave on gazetted public holidays."
39,Worker Protection from Termination,Industrial Employment Standing Orders Ordinance,Section 10,"No permanent worker shall be dismissed without giving one month's notice or payment of one month's wages in lieu of notice. Workers shall not be dismissed on grounds of trade union membership or activity. Wrongful dismissal can be contested before Labor Court within 30 days of termination."
40,EOBI - Employees Old Age Benefits,Employees Old Age Benefits Institution Act,Section 3-9,"Every establishment employing five or more workers must register with EOBI. Workers contribute 1% of their wages and employers contribute 5% of wages to EOBI fund. Workers become eligible for pension after 15 years of service and attaining age of 60 years. Old age grant is available for workers with less than 15 years service."
41,Social Security Benefits,Provincial Employees Social Security Ordinance,Section 4,"Employers with 10 or more workers must register with Social Security. Employer contributes 6% of wages. Workers are entitled to medical care, sickness benefit, maternity benefit, and injury benefit. Eligible workers can receive free medical treatment at Social Security hospitals."
42,Islamic Banking - Murabaha,State Bank of Pakistan Islamic Banking Guidelines,SBP Circular,"Murabaha is a cost-plus-profit sale arrangement. The bank purchases the asset and sells it to the customer at a marked-up price. The customer pays in installments. This is Shariah-compliant as it avoids interest (riba). The profit margin must be fixed at the time of agreement and cannot be changed later."
43,Islamic Banking - Ijara,State Bank of Pakistan Islamic Banking Guidelines,SBP Circular,"Ijara is an Islamic leasing arrangement. The bank purchases the asset and leases it to the customer. The customer pays rental payments. At the end of the lease period, ownership can be transferred to the customer. This is used for vehicle and property financing as a Shariah-compliant alternative to conventional leasing."
44,Islamic Banking - Musharaka,State Bank of Pakistan Islamic Banking Guidelines,SBP Circular,"Musharaka is a partnership arrangement where bank and customer both contribute capital. Profits are shared in agreed ratios. Losses are shared in proportion to capital contribution. This is used for business financing. Diminishing Musharaka is used for home financing where customer gradually buys bank's share."
45,Cyber Crime - Electronic Fraud,Prevention of Electronic Crimes Act 2016,Section 9-10,"Whoever commits fraud by inputting, altering, deleting, or suppressing computer data or interfering with the functioning of an information system with the intent to deceive shall be punished with imprisonment up to 2 years or fine up to 10 million rupees or both. Online financial fraud carries stricter penalties."
46,Cyber Crime - Hate Speech Online,Prevention of Electronic Crimes Act 2016,Section 11,"Whoever prepares or disseminates information through any information system or device that advances or is likely to advance inter-faith, sectarian or racial hatred shall be punished with imprisonment up to 7 years or fine or both. Content glorifying terrorism or extremism is also prohibited."
47,Cyber Stalking and Harassment,Prevention of Electronic Crimes Act 2016,Section 24,"Whoever commits the offence of cyber stalking with intent to coerce, intimidate, or harass any person shall be punished with imprisonment up to 3 years or with fine up to 1 million rupees or both. This includes repeated electronic communication causing fear or distress."
48,Data Protection,Prevention of Electronic Crimes Act 2016,Section 14,"Whoever obtains, sells, possesses, transmits or uses another person's identity information without authorization shall be punished with imprisonment up to 3 years or fine up to 5 million rupees or both. Unauthorized access to someone's accounts or data is a criminal offence."
49,Consumer Rights - Defective Products,Consumer Protection Act,Section 8-10,"A consumer has the right to return defective goods and demand refund or replacement. If a product causes injury due to manufacturing defect, the consumer can claim compensation. Sellers cannot disclaim all liability for defective products. Consumer Courts are established to resolve such disputes quickly."
50,Consumer Rights - Misleading Advertisement,Consumer Protection Act,Section 11,"No seller shall make any false representation regarding the quality, quantity, or standard of goods or services. False advertising is an offence under Consumer Protection law. Consumers can file complaint with Consumer Protection Council or Consumer Court."
51,Property Registration,Registration Act,Section 17,"All documents relating to immovable property worth more than Rs. 100 are compulsorily registrable. Sale deeds, mortgage deeds, gift deeds must be registered. Unregistered documents cannot be used as evidence of transfer of property. Registration must be done at the Sub-Registrar's office in whose jurisdiction the property is located."
52,Stamp Duty,Stamp Act,Section 3,"Every instrument specified in Schedule I is chargeable with duty. Stamp duty on property sale varies by province: in Punjab it is 3% for buyer and 1% for seller. Understating property value to reduce stamp duty is an offence. If stamp duty is not paid, the document is inadmissible in evidence."
53,Land Acquisition,Land Acquisition Act,Section 4-9,"The government can acquire private land for public purpose after following due process. The collector must give notice to land owners. Fair market compensation must be paid. Land owners have the right to object and to be heard before acquisition. Compensation disputes can be taken to court."
54,Succession Certificate,Succession Act,Section 370,"A succession certificate is issued by a civil court to authorize a person to collect debts or securities belonging to a deceased person. It is required to access bank accounts, shares, and other assets of the deceased. Legal heirs must apply to the court with proof of death and relationship."
55,Power of Attorney,Power of Attorney Act,General Provisions,"A power of attorney is a legal document authorizing one person to act on behalf of another. General power of attorney gives broad authority. Special power of attorney is limited to specific acts. Power of attorney must be registered if it relates to immovable property. It becomes invalid on the death of the grantor."
56,Bail in Non-Bailable Offences,Code of Criminal Procedure,Section 497,"When any person accused of any non-bailable offence is arrested or detained without warrant, he may be released on bail by a court. The court may direct that such person be released on bail if: accused is under sixteen years, or is a woman, or is sick or infirm, or it is just and proper so to do. Bail may be cancelled if the person is likely to flee or tamper with evidence."
57,Anticipatory Bail,Code of Criminal Procedure,Section 498,"A High Court or a Court of Session may, at any time before the arrest of any person, direct that such person shall, in the event of such arrest, be released on bail. This is called anticipatory bail. It is granted when a person apprehends arrest in a non-bailable case. The court considers whether there is prima facie case against the applicant."
58,Police Powers and Limitations,Police Order 2002,Article 4-5,"Police powers include maintaining law and order, preventing and detecting crimes, and apprehending offenders. Police cannot torture or use third degree methods during interrogation. Citizens have the right to file complaint against police misconduct. Police Complaint Authority is established in each province to hear complaints against police officers."
59,Domestic Violence,Domestic Violence (Prevention and Protection) Act / Punjab Protection of Women Against Violence Act,Section 4,"Domestic violence includes physical, sexual, emotional, psychological and economic abuse against women and children within the family. Victims can apply for a protection order from the court. The court can issue an emergency protection order within 24 hours. Violation of protection order is punishable with imprisonment and fine."
60,Child Labor,Employment of Children Act,Section 3,"No child below the age of 14 shall be employed in any establishment or engaged in any hazardous work. Children between 14-18 years cannot be employed in hazardous occupations. Employers violating this law can be punished with imprisonment up to 1 year and fine up to 20,000 rupees."
61,Drug Offences,Control of Narcotic Substances Act,Section 6-9,"Possession of narcotic drugs without authorization is an offence. Punishment depends on quantity: small quantity - maximum 2 years imprisonment; substantial quantity - rigorous imprisonment of 2-7 years with fine; trafficking - rigorous imprisonment up to 14 years with fine; large quantity - death or life imprisonment."
62,Weapons Licence,Arms Act,Section 13-15,"No person shall possess, carry, use or deal in any firearm without a licence. Licences are granted by licensing authority of the area. Carrying arms without licence is punishable with imprisonment up to 7 years. Arms used in commission of crime are confiscated and licence cancelled."
63,Contempt of Court,Contempt of Court Ordinance,Section 3-5,"Any person who disobeys or disregards any order or direction of court, or scandalizes the court, or prejudices any civil or criminal proceedings, commits contempt of court. Punishment for contempt is imprisonment up to 6 months or fine up to Rs. 100,000 or both. Apology may be accepted in mitigation."
64,Writ Jurisdiction,Constitution of Pakistan,Article 199,"Every High Court may, on application of any aggrieved party, make an order giving direction to any person performing functions in connection with affairs of the Federation or Province to refrain from doing that which is not permitted by law, or to do that which is required by law. Writs include Mandamus, Prohibition, Certiorari, Habeas Corpus and Quo Warranto."
65,Right to Legal Aid,Legal Aid and Justice Authority Act,Section 6-7,"Every person who is accused of an offence and cannot afford legal representation has the right to be provided legal aid at state expense. Legal Aid and Justice Authority provides free legal services to indigent persons. Applications for legal aid can be made to the District Legal Aid Committee."
